driver_tag,timestamp,gps_speed,no_of_veh_det,overspeeding,acc_Z,at_estimates.nor,at_estimates.acc,at_estimates.brk,at_estimates.chosen
31,15,21.75,0,0,-0.698472727,0.0581674544161714,0.455416205484523,0.486416340099305,0.486416340099305
31,16,21.86111111,0,0,-0.571963636,0.184135578413434,0.182890695963297,0.632973725623268,0.632973725623268
31,17,21.61111111,1,0,-0.253018182,0.191806058546967,0.275140175318003,0.53305376613503,0.53305376613503
31,18,21.63888889,0,0,-0.253018182,0.167768053450927,0.165763987019419,0.666467959529654,0.666467959529654
31,19,21.41666667,0,0,0.245890909,0.222739092315344,0.285936774334816,0.49132413334984,0.285936774334816
31,21,21.66666667,2,0,-0.130072727,0.204395333072854,0.252837779998226,0.54276688692892,0.54276688692892
31,22,21.66666667,2,0,-0.121163636,0.148419817084578,0.212702951242757,0.638877231672665,0.638877231672665
31,24,21.83333333,2,0,0.405363636,0.191831800370353,0.325542090195289,0.482626109434358,0.325542090195289
31,25,22.41666667,2,0,0.336763636,0.227623747733591,0.307644557377125,0.464731694889284,0.307644557377125
31,26,23.16666667,2,0,0.147,0.222021663167031,0.265577810861242,0.512400525971727,0.265577810861242
31,27,24.02777778,1,0,-0.152345455,0.224886118037373,0.212921239909721,0.562192642052906,0.562192642052906
31,29,24.11111111,1,0,-3.09e-18,0.181281895256949,0.222165208110803,0.596552896632248,0.181281895256949
31,30,24.11111111,1,0,0.114036364,0.314444736753961,0.51275543491464,0.172799828331398,0.51275543491464
31,31,24.11111111,1,0,0.158581818,0.260608230842855,0.357516056268044,0.381875712889102,0.357516056268044
31,32,24.41666667,1,0,0.266381818,0.269956124097438,0.346057600272214,0.383986275630348,0.346057600272214
31,34,26.11111111,1,0,0.003563636,0.237387313486989,0.168670997933462,0.593941688579548,0.237387313486989
31,35,26.94444444,1,0,-0.045436364,0.385648284302099,0.378369277446605,0.235982438251296,0.385648284302099
31,48,29.91666667,2,0,-0.042763636,0.415200979069059,0.260218128335608,0.324580892595333,0.415200979069059
31,49,30.0,2,0,0.135418182,0.348532209773473,0.517437330426864,0.134030459799663,0.517437330426864
31,50,30.58333333,1,0,0.155909091,0.331688139704302,0.287569837203132,0.380742023092566,0.287569837203132
31,52,31.27777778,1,0,0.018709091,0.336624321377739,0.236854286618909,0.426521392003352,0.336624321377739
31,55,31.91666667,0,0,-0.044545455,0.463590378460561,0.332197164570215,0.204212456969224,0.463590378460561
31,57,32.08333333,0,0,-0.0196,0.454446239454374,0.380290534726383,0.165263225819243,0.454446239454374
31,58,32.08333333,0,0,-0.004454545,0.448885793758915,0.391087910408772,0.160026295832313,0.448885793758915
31,59,32.19444444,0,0,0.040090909,0.454101033216866,0.386891819960241,0.159007146822893,0.454101033216866
31,60,32.13888889,0,0,-0.069490909,0.446400047665191,0.373816011274394,0.179783941060415,0.179783941060415
31,61,32.11111111,0,0,-0.049890909,0.261879786849313,0.172871309994296,0.565248903156392,0.261879786849313
31,63,31.86111111,0,0,-0.056127273,0.437811078786537,0.407722819955626,0.154466101257837,0.154466101257837
31,65,31.47222222,0,0,-0.014254545,0.263843402080001,0.198065365713508,0.538091232206491,0.263843402080001
31,67,31.38888889,0,0,-0.008018182,0.439384495567598,0.399211354775006,0.161404149657396,0.439384495567598
31,68,31.19444444,0,0,-0.098890909,0.432818223953757,0.392191682081847,0.174990093964396,0.174990093964396
31,69,31.05555556,0,0,-0.016927273,0.262222495182503,0.190032043192952,0.547745461624546,0.262222495182503
31,70,30.88888889,0,0,-0.074836364,0.431077850941824,0.397223727907205,0.171698421150971,0.171698421150971
31,72,30.5,0,0,-0.062363636,0.250886910864788,0.192880637477718,0.556232451657494,0.556232451657494
31,73,30.5,0,0,-0.025836364,0.248922402306725,0.174087843162852,0.576989754530422,0.248922402306725
31,74,30.27777778,0,0,-0.036527273,0.423476134241135,0.412758890558496,0.163764975200369,0.423476134241135
31,75,30.19444444,0,0,0.104236364,0.427306766681033,0.4283311526738,0.144362080645166,0.4283311526738
31,77,30.33333333,0,0,0.016927273,0.350867776293633,0.260373892886342,0.388758330820025,0.350867776293633
31,78,30.27777778,0,0,-0.080181818,0.427958929194404,0.384699729460303,0.187341341345293,0.187341341345293
31,89,30.38888889,0,0,0.018709091,0.255607012846768,0.177815850302528,0.566577136850705,0.255607012846768
31,90,30.25,0,0,-0.001781818,0.426916742748107,0.403854146963587,0.169229110288305,0.426916742748107
31,92,30.58333333,0,0,-0.061472727,0.443871526845567,0.359540710705789,0.196587762448644,0.196587762448644
31,93,31.25,0,0,-0.069490909,0.238935972392617,0.132593752912151,0.628470274695232,0.628470274695232
31,94,30.80555556,0,0,0.050781818,0.269379336980805,0.215569722468456,0.515050940550739,0.215569722468456
31,96,30.72222222,0,0,0.063254545,0.365478056349917,0.293903941167225,0.340618002482858,0.293903941167225
31,97,30.91666667,0,0,0.017818182,0.362757705342879,0.26243695934104,0.374805335316081,0.362757705342879
31,98,30.88888889,0,0,-0.0686,0.436605352412061,0.38020841646376,0.183186231124179,0.183186231124179
