driver_tag,time_tag,dist_ahead,time_of_impact,num_of_det_vehicles,veh_flag,gps_speed,overspeeding,min_age,max_age,old_age,ptw_ratio,is_diesel,gender,female,small_car,norm_avail,brek_avail,accr_avail,behaviour,target,target_lag1,gps_speed_diff1,num_of_det_vehicles_diff1,dist_ahead_diff1,alpha_12,alpha_13,alpha_21,alpha_22,alpha_23,alpha_31,alpha_32,alpha_33,alpha_41,alpha_42,alpha_43,alpha_51,alpha_52,alpha_53,alpha_61,alpha_63,is_aggressive,is_drowsy,is_normal
11,0,-1.0,-1.0,0,0,65.03333333,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,1,9999,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1,-1.0,-1.0,0,0,68.63333333,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,0,1,3.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2,-1.0,-1.0,0,0,71.22222222,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,0,0,2.588888889,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,3,-1.0,-1.0,0,0,74.34444444,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,2,0,3.122222222,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,4,-1.0,-1.0,0,0,77.11111111,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,0,2,2.766666667,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,5,-1.0,-1.0,0,0,79.12222222,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,2,0,2.011111111,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,6,-1.0,-1.0,0,0,79.55555556,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,2,2,0.433333333,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,7,-1.0,-1.0,0,0,80.15555556,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,1,2,0.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,8,-1.0,-1.0,0,0,81.4,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,1,1,1.244444444,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,9,-1.0,-1.0,0,0,83.06666667,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,1,1,1.666666667,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,10,-1.0,-1.0,0,0,85.15555556,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,1,1,2.088888889,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,11,-1.0,-1.0,0,0,86.9,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,2,1,1.744444444,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,12,-1.0,-1.0,0,0,88.58888889,0,40,50,1,0.07,1,Male,0,0,1,1,1,normal,2,2,1.688888889,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,13,-1.0,-1.0,0,0,90.81111111,1,40,50,1,0.07,1,Male,0,0,1,1,1,normal,2,2,2.222222222,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
